编号,全拼_raw,全拼_hex,简拼_raw,简拼_hex,干音_raw,干音_hex,映射编号
425,􀀅􀀫􀀪􀀣,U+100005 U+10002B U+10002A U+100023,􀀅􀀫􀀪􀀣,U+100005 U+10002B U+10002A U+100023,􀀅,U+100005,2786
426,􀀅􀀫􀀪􀀩,U+100005 U+10002B U+10002A U+100029,􀀅􀀫􀀪􀀩,U+100005 U+10002B U+10002A U+100029,􀀅,U+100005,2746
427,􀀅􀀫􀀪􀀻,U+100005 U+10002B U+10002A U+10003B,􀀅􀀫􀀪􀀻,U+100005 U+10002B U+10002A U+10003B,􀀅,U+100005,2766
428,􀀅􀀫􀀪􀀾,U+100005 U+10002B U+10002A U+10003E,􀀅􀀫􀀪􀀾,U+100005 U+10002B U+10002A U+10003E,􀀅,U+100005,2776
429,􀀅􀀫􀀫􀀢,U+100005 U+10002B U+10002B U+100022,􀀅􀀫􀀢,U+100005 U+10002B U+100022,􀀅,U+100005,2758
430,􀀅􀀫􀀫􀀥,U+100005 U+10002B U+10002B U+100025,􀀅􀀫􀀥,U+100005 U+10002B U+100025,􀀅,U+100005,2788
431,􀀅􀀫􀀫􀀫,U+100005 U+10002B U+10002B U+10002B,􀀅􀀫,U+100005 U+10002B,􀀅,U+100005,2748
432,􀀅􀀫􀀫􀀽,U+100005 U+10002B U+10002B U+10003D,􀀅􀀫􀀽,U+100005 U+10002B U+10003D,􀀅,U+100005,2768
433,􀀅􀀫􀀫􀁀,U+100005 U+10002B U+10002B U+100040,􀀅􀀫􀁀,U+100005 U+10002B U+100040,􀀅,U+100005,2778
434,􀀅􀀬􀀬􀀣,U+100005 U+10002C U+10002C U+100023,􀀅􀀬􀀣,U+100005 U+10002C U+100023,􀀅,U+100005,2868
435,􀀅􀀬􀀬􀀾,U+100005 U+10002C U+10002C U+10003E,􀀅􀀬􀀾,U+100005 U+10002C U+10003E,􀀅,U+100005,2800
436,􀀅􀀬􀀭􀀥,U+100005 U+10002C U+10002D U+100025,􀀅􀀬􀀭􀀥,U+100005 U+10002C U+10002D U+100025,􀀅,U+100005,2874
437,􀀅􀀬􀀭􀀮,U+100005 U+10002C U+10002D U+10002E,􀀅􀀬􀀭􀀮,U+100005 U+10002C U+10002D U+10002E,􀀅,U+100005,2794
438,􀀅􀀬􀀭􀁀,U+100005 U+10002C U+10002D U+100040,􀀅􀀬􀀭􀁀,U+100005 U+10002C U+10002D U+100040,􀀅,U+100005,2804
439,􀀅􀀭􀀭􀀤,U+100005 U+10002D U+10002D U+100024,􀀅􀀭􀀤,U+100005 U+10002D U+100024,􀀅,U+100005,2876
440,􀀅􀀭􀀭􀀭,U+100005 U+10002D U+10002D U+10002D,􀀅􀀭,U+100005 U+10002D,􀀅,U+100005,2796
441,􀀅􀀭􀀭􀀿,U+100005 U+10002D U+10002D U+10003F,􀀅􀀭􀀿,U+100005 U+10002D U+10003F,􀀅,U+100005,2806
442,􀀅􀀮􀀭􀀣,U+100005 U+10002E U+10002D U+100023,􀀅􀀮􀀭􀀣,U+100005 U+10002E U+10002D U+100023,􀀅,U+100005,2870
443,􀀅􀀮􀀭􀀾,U+100005 U+10002E U+10002D U+10003E,􀀅􀀮􀀭􀀾,U+100005 U+10002E U+10002D U+10003E,􀀅,U+100005,2802
444,􀀅􀀮􀀮􀀥,U+100005 U+10002E U+10002E U+100025,􀀅􀀮􀀥,U+100005 U+10002E U+100025,􀀅,U+100005,2872
445,􀀅􀀯􀀯􀀠,U+100005 U+10002F U+10002F U+100020,􀀅􀀯􀀠,U+100005 U+10002F U+100020,􀀅,U+100005,2798
446,􀀆􀀠􀀠􀀠,U+100006 U+100020 U+100020 U+100020,􀀆􀀠,U+100006 U+100020,􀀆,U+100006,1498
447,􀀆􀀠􀀡􀀢,U+100006 U+100020 U+100021 U+100022,􀀆􀀠􀀡􀀢,U+100006 U+100020 U+100021 U+100022,􀀆,U+100006,1504
448,􀀆􀀠􀀩􀀣,U+100006 U+100020 U+100029 U+100023,􀀆􀀠􀀩􀀣,U+100006 U+100020 U+100029 U+100023,􀀆,U+100006,1526
449,􀀆􀀠􀀪􀀥,U+100006 U+100020 U+10002A U+100025,􀀆􀀠􀀪􀀥,U+100006 U+100020 U+10002A U+100025,􀀆,U+100006,1532
450,􀀆􀀠􀀪􀀽,U+100006 U+100020 U+10002A U+10003D,􀀆􀀠􀀪􀀽,U+100006 U+100020 U+10002A U+10003D,􀀆,U+100006,1514
451,􀀆􀀠􀀪􀁀,U+100006 U+100020 U+10002A U+100040,􀀆􀀠􀀪􀁀,U+100006 U+100020 U+10002A U+100040,􀀆,U+100006,1522
452,􀀆􀀠􀀬􀀣,U+100006 U+100020 U+10002C U+100023,􀀆􀀠􀀬􀀣,U+100006 U+100020 U+10002C U+100023,􀀆,U+100006,1564
453,􀀆􀀠􀀬􀀾,U+100006 U+100020 U+10002C U+10003E,􀀆􀀠􀀬􀀾,U+100006 U+100020 U+10002C U+10003E,􀀆,U+100006,1554
454,􀀆􀀠􀀭􀀥,U+100006 U+100020 U+10002D U+100025,􀀆􀀠􀀭􀀥,U+100006 U+100020 U+10002D U+100025,􀀆,U+100006,1570
455,􀀆􀀠􀀭􀁀,U+100006 U+100020 U+10002D U+100040,􀀆􀀠􀀭􀁀,U+100006 U+100020 U+10002D U+100040,􀀆,U+100006,1560
456,􀀆􀀠􀀯􀀯,U+100006 U+100020 U+10002F U+10002F,􀀆􀀠􀀯,U+100006 U+100020 U+10002F,􀀆,U+100006,1536
457,􀀆􀀠􀀯􀀻,U+100006 U+100020 U+10002F U+10003B,􀀆􀀠􀀯􀀻,U+100006 U+100020 U+10002F U+10003B,􀀆,U+100006,1546
458,􀀆􀀠􀀰􀀱,U+100006 U+100020 U+100030 U+100031,􀀆􀀠􀀰􀀱,U+100006 U+100020 U+100030 U+100031,􀀆,U+100006,1542
459,􀀆􀀠􀀰􀀽,U+100006 U+100020 U+100030 U+10003D,􀀆􀀠􀀰􀀽,U+100006 U+100020 U+100030 U+10003D,􀀆,U+100006,1552
460,􀀆􀀡􀀡􀀡,U+100006 U+100021 U+100021 U+100021,􀀆􀀡,U+100006 U+100021,􀀆,U+100006,1506
461,􀀆􀀡􀀪􀀤,U+100006 U+100021 U+10002A U+100024,􀀆􀀡􀀪􀀤,U+100006 U+100021 U+10002A U+100024,􀀆,U+100006,1534
462,􀀆􀀡􀀪􀀼,U+100006 U+100021 U+10002A U+10003C,􀀆􀀡􀀪􀀼,U+100006 U+100021 U+10002A U+10003C,􀀆,U+100006,1516
463,􀀆􀀡􀀪􀀿,U+100006 U+100021 U+10002A U+10003F,􀀆􀀡􀀪􀀿,U+100006 U+100021 U+10002A U+10003F,􀀆,U+100006,1524
464,􀀆􀀡􀀭􀀤,U+100006 U+100021 U+10002D U+100024,􀀆􀀡􀀭􀀤,U+100006 U+100021 U+10002D U+100024,􀀆,U+100006,1572
465,􀀆􀀡􀀭􀀿,U+100006 U+100021 U+10002D U+10003F,􀀆􀀡􀀭􀀿,U+100006 U+100021 U+10002D U+10003F,􀀆,U+100006,1562
466,􀀆􀀡􀀰􀀰,U+100006 U+100021 U+100030 U+100030,􀀆􀀡􀀰,U+100006 U+100021 U+100030,􀀆,U+100006,1544
467,􀀆􀀢􀀡􀀠,U+100006 U+100022 U+100021 U+100020,􀀆􀀢􀀡􀀠,U+100006 U+100022 U+100021 U+100020,􀀆,U+100006,1500
468,􀀆􀀢􀀢􀀢,U+100006 U+100022 U+100022 U+100022,􀀆􀀢,U+100006 U+100022,􀀆,U+100006,1502
469,􀀆􀀢􀀪􀀣,U+100006 U+100022 U+10002A U+100023,􀀆􀀢􀀪􀀣,U+100006 U+100022 U+10002A U+100023,􀀆,U+100006,1528
470,􀀆􀀢􀀪􀀻,U+100006 U+100022 U+10002A U+10003B,􀀆􀀢􀀪􀀻,U+100006 U+100022 U+10002A U+10003B,􀀆,U+100006,1510
471,􀀆􀀢􀀪􀀾,U+100006 U+100022 U+10002A U+10003E,􀀆􀀢􀀪􀀾,U+100006 U+100022 U+10002A U+10003E,􀀆,U+100006,1518
472,􀀆􀀢􀀫􀀥,U+100006 U+100022 U+10002B U+100025,􀀆􀀢􀀫􀀥,U+100006 U+100022 U+10002B U+100025,􀀆,U+100006,1530
473,􀀆􀀢􀀫􀀫,U+100006 U+100022 U+10002B U+10002B,􀀆􀀢􀀫,U+100006 U+100022 U+10002B,􀀆,U+100006,1508
474,􀀆􀀢􀀫􀀽,U+100006 U+100022 U+10002B U+10003D,􀀆􀀢􀀫􀀽,U+100006 U+100022 U+10002B U+10003D,􀀆,U+100006,1512
475,􀀆􀀢􀀫􀁀,U+100006 U+100022 U+10002B U+100040,􀀆􀀢􀀫􀁀,U+100006 U+100022 U+10002B U+100040,􀀆,U+100006,1520
476,􀀆􀀢􀀭􀀣,U+100006 U+100022 U+10002D U+100023,􀀆􀀢􀀭􀀣,U+100006 U+100022 U+10002D U+100023,􀀆,U+100006,1566
477,􀀆􀀢􀀭􀀾,U+100006 U+100022 U+10002D U+10003E,􀀆􀀢􀀭􀀾,U+100006 U+100022 U+10002D U+10003E,􀀆,U+100006,1556
478,􀀆􀀢􀀮􀀥,U+100006 U+100022 U+10002E U+100025,􀀆􀀢􀀮􀀥,U+100006 U+100022 U+10002E U+100025,􀀆,U+100006,1568
479,􀀆􀀢􀀮􀁀,U+100006 U+100022 U+10002E U+100040,􀀆􀀢􀀮􀁀,U+100006 U+100022 U+10002E U+100040,􀀆,U+100006,1558
480,􀀆􀀢􀀰􀀯,U+100006 U+100022 U+100030 U+10002F,􀀆􀀢􀀰􀀯,U+100006 U+100022 U+100030 U+10002F,􀀆,U+100006,1538
481,􀀆􀀢􀀰􀀻,U+100006 U+100022 U+100030 U+10003B,􀀆􀀢􀀰􀀻,U+100006 U+100022 U+100030 U+10003B,􀀆,U+100006,1548
482,􀀆􀀢􀀱􀀱,U+100006 U+100022 U+100031 U+100031,􀀆􀀢􀀱,U+100006 U+100022 U+100031,􀀆,U+100006,1540
483,􀀆􀀢􀀱􀀽,U+100006 U+100022 U+100031 U+10003D,􀀆􀀢􀀱􀀽,U+100006 U+100022 U+100031 U+10003D,􀀆,U+100006,1550
484,􀀆􀀣􀀣􀀣,U+100006 U+100023 U+100023 U+100023,􀀆􀀣,U+100006 U+100023,􀀆,U+100006,1596
485,􀀆􀀣􀀤􀀥,U+100006 U+100023 U+100024 U+100025,􀀆􀀣􀀤􀀥,U+100006 U+100023 U+100024 U+100025,􀀆,U+100006,1602
486,􀀆􀀣􀀪􀀽,U+100006 U+100023 U+10002A U+10003D,􀀆􀀣􀀪􀀽,U+100006 U+100023 U+10002A U+10003D,􀀆,U+100006,1610
487,􀀆􀀣􀀬􀀬,U+100006 U+100023 U+10002C U+10002C,􀀆􀀣􀀬,U+100006 U+100023 U+10002C,􀀆,U+100006,1622
488,􀀆􀀣􀀬􀀾,U+100006 U+100023 U+10002C U+10003E,􀀆􀀣􀀬􀀾,U+100006 U+100023 U+10002C U+10003E,􀀆,U+100006,1576
489,􀀆􀀣􀀭􀀮,U+100006 U+100023 U+10002D U+10002E,􀀆􀀣􀀭􀀮,U+100006 U+100023 U+10002D U+10002E,􀀆,U+100006,1628
490,􀀆􀀣􀀭􀁀,U+100006 U+100023 U+10002D U+100040,􀀆􀀣􀀭􀁀,U+100006 U+100023 U+10002D U+100040,􀀆,U+100006,1582
491,􀀆􀀣􀀯􀀻,U+100006 U+100023 U+10002F U+10003B,􀀆􀀣􀀯􀀻,U+100006 U+100023 U+10002F U+10003B,􀀆,U+100006,1614
492,􀀆􀀣􀀰􀀽,U+100006 U+100023 U+100030 U+10003D,􀀆􀀣􀀰􀀽,U+100006 U+100023 U+100030 U+10003D,􀀆,U+100006,1620
493,􀀆􀀤􀀤􀀤,U+100006 U+100024 U+100024 U+100024,􀀆􀀤,U+100006 U+100024,􀀆,U+100006,1604
494,􀀆􀀤􀀪􀀼,U+100006 U+100024 U+10002A U+10003C,􀀆􀀤􀀪􀀼,U+100006 U+100024 U+10002A U+10003C,􀀆,U+100006,1612
495,􀀆􀀤􀀭􀀭,U+100006 U+100024 U+10002D U+10002D,􀀆􀀤􀀭,U+100006 U+100024 U+10002D,􀀆,U+100006,1630
496,􀀆􀀤􀀭􀀿,U+100006 U+100024 U+10002D U+10003F,􀀆􀀤􀀭􀀿,U+100006 U+100024 U+10002D U+10003F,􀀆,U+100006,1584
497,􀀆􀀥􀀤􀀣,U+100006 U+100025 U+100024 U+100023,􀀆􀀥􀀤􀀣,U+100006 U+100025 U+100024 U+100023,􀀆,U+100006,1598
498,􀀆􀀥􀀥􀀥,U+100006 U+100025 U+100025 U+100025,􀀆􀀥,U+100006 U+100025,􀀆,U+100006,1600
499,􀀆􀀥􀀪􀀻,U+100006 U+100025 U+10002A U+10003B,􀀆􀀥􀀪􀀻,U+100006 U+100025 U+10002A U+10003B,􀀆,U+100006,1606
500,􀀆􀀥􀀫􀀽,U+100006 U+100025 U+10002B U+10003D,􀀆􀀥􀀫􀀽,U+100006 U+100025 U+10002B U+10003D,􀀆,U+100006,1608
501,􀀆􀀥􀀭􀀬,U+100006 U+100025 U+10002D U+10002C,􀀆􀀥􀀭􀀬,U+100006 U+100025 U+10002D U+10002C,􀀆,U+100006,1624
502,􀀆􀀥􀀭􀀾,U+100006 U+100025 U+10002D U+10003E,􀀆􀀥􀀭􀀾,U+100006 U+100025 U+10002D U+10003E,􀀆,U+100006,1578
503,􀀆􀀥􀀮􀀮,U+100006 U+100025 U+10002E U+10002E,􀀆􀀥􀀮,U+100006 U+100025 U+10002E,􀀆,U+100006,1626
504,􀀆􀀥􀀮􀁀,U+100006 U+100025 U+10002E U+100040,􀀆􀀥􀀮􀁀,U+100006 U+100025 U+10002E U+100040,􀀆,U+100006,1580
505,􀀆􀀥􀀰􀀻,U+100006 U+100025 U+100030 U+10003B,􀀆􀀥􀀰􀀻,U+100006 U+100025 U+100030 U+10003B,􀀆,U+100006,1616
506,􀀆􀀥􀀱􀀽,U+100006 U+100025 U+100031 U+10003D,􀀆􀀥􀀱􀀽,U+100006 U+100025 U+100031 U+10003D,􀀆,U+100006,1618
507,􀀆􀀦􀀧􀀨,U+100006 U+100026 U+100027 U+100028,􀀆􀀦􀀧􀀨,U+100006 U+100026 U+100027 U+100028,􀀆,U+100006,1636
508,􀀆􀀦􀀰􀀱,U+100006 U+100026 U+100030 U+100031,􀀆􀀦􀀰􀀱,U+100006 U+100026 U+100030 U+100031,􀀆,U+100006,1642
509,􀀆􀀨􀀧􀀦,U+100006 U+100028 U+100027 U+100026,􀀆􀀨􀀧􀀦,U+100006 U+100028 U+100027 U+100026,􀀆,U+100006,1632
510,􀀆􀀨􀀨􀀨,U+100006 U+100028 U+100028 U+100028,􀀆􀀨,U+100006 U+100028,􀀆,U+100006,1634
511,􀀆􀀨􀀪􀀻,U+100006 U+100028 U+10002A U+10003B,􀀆􀀨􀀪􀀻,U+100006 U+100028 U+10002A U+10003B,􀀆,U+100006,1638
512,􀀆􀀨􀀫􀀽,U+100006 U+100028 U+10002B U+10003D,􀀆􀀨􀀫􀀽,U+100006 U+100028 U+10002B U+10003D,􀀆,U+100006,1640
513,􀀆􀀨􀀱􀀱,U+100006 U+100028 U+100031 U+100031,􀀆􀀨􀀱,U+100006 U+100028 U+100031,􀀆,U+100006,1650
514,􀀆􀀩􀀩􀀣,U+100006 U+100029 U+100029 U+100023,􀀆􀀩􀀣,U+100006 U+100029 U+100023,􀀆,U+100006,1460
515,􀀆􀀩􀀩􀀩,U+100006 U+100029 U+100029 U+100029,􀀆􀀩,U+100006 U+100029,􀀆,U+100006,1424
516,􀀆􀀩􀀩􀀾,U+100006 U+100029 U+100029 U+10003E,􀀆􀀩􀀾,U+100006 U+100029 U+10003E,􀀆,U+100006,1450
517,􀀆􀀩􀀪􀀢,U+100006 U+100029 U+10002A U+100022,􀀆􀀩􀀪􀀢,U+100006 U+100029 U+10002A U+100022,􀀆,U+100006,1438
518,􀀆􀀩􀀪􀀥,U+100006 U+100029 U+10002A U+100025,􀀆􀀩􀀪􀀥,U+100006 U+100029 U+10002A U+100025,􀀆,U+100006,1466
519,􀀆􀀩􀀪􀀫,U+100006 U+100029 U+10002A U+10002B,􀀆􀀩􀀪􀀫,U+100006 U+100029 U+10002A U+10002B,􀀆,U+100006,1430
520,􀀆􀀩􀀪􀀽,U+100006 U+100029 U+10002A U+10003D,􀀆􀀩􀀪􀀽,U+100006 U+100029 U+10002A U+10003D,􀀆,U+100006,1446
521,􀀆􀀩􀀪􀁀,U+100006 U+100029 U+10002A U+100040,􀀆􀀩􀀪􀁀,U+100006 U+100029 U+10002A U+100040,􀀆,U+100006,1456
522,􀀆􀀪􀀪􀀡,U+100006 U+10002A U+10002A U+100021,􀀆􀀪􀀡,U+100006 U+10002A U+100021,􀀆,U+100006,1440
523,􀀆􀀪􀀪􀀤,U+100006 U+10002A U+10002A U+100024,􀀆􀀪􀀤,U+100006 U+10002A U+100024,􀀆,U+100006,1468
524,􀀆􀀪􀀪􀀪,U+100006 U+10002A U+10002A U+10002A,􀀆􀀪,U+100006 U+10002A,􀀆,U+100006,1432
525,􀀆􀀪􀀪􀀼,U+100006 U+10002A U+10002A U+10003C,􀀆􀀪􀀼,U+100006 U+10002A U+10003C,􀀆,U+100006,1448
526,􀀆􀀪􀀪􀀿,U+100006 U+10002A U+10002A U+10003F,􀀆􀀪􀀿,U+100006 U+10002A U+10003F,􀀆,U+100006,1458
527,􀀆􀀫􀀪􀀠,U+100006 U+10002B U+10002A U+100020,􀀆􀀫􀀪􀀠,U+100006 U+10002B U+10002A U+100020,􀀆,U+100006,1434
528,􀀆􀀫􀀪􀀣,U+100006 U+10002B U+10002A U+100023,􀀆􀀫􀀪􀀣,U+100006 U+10002B U+10002A U+100023,􀀆,U+100006,1462
529,􀀆􀀫􀀪􀀩,U+100006 U+10002B U+10002A U+100029,􀀆􀀫􀀪􀀩,U+100006 U+10002B U+10002A U+100029,􀀆,U+100006,1426
530,􀀆􀀫􀀪􀀻,U+100006 U+10002B U+10002A U+10003B,􀀆􀀫􀀪􀀻,U+100006 U+10002B U+10002A U+10003B,􀀆,U+100006,1442
531,􀀆􀀫􀀪􀀾,U+100006 U+10002B U+10002A U+10003E,􀀆􀀫􀀪􀀾,U+100006 U+10002B U+10002A U+10003E,􀀆,U+100006,1452
532,􀀆􀀫􀀫􀀢,U+100006 U+10002B U+10002B U+100022,􀀆􀀫􀀢,U+100006 U+10002B U+100022,􀀆,U+100006,1436
533,􀀆􀀫􀀫􀀥,U+100006 U+10002B U+10002B U+100025,􀀆􀀫􀀥,U+100006 U+10002B U+100025,􀀆,U+100006,1464
534,􀀆􀀫􀀫􀀫,U+100006 U+10002B U+10002B U+10002B,􀀆􀀫,U+100006 U+10002B,􀀆,U+100006,1428
535,􀀆􀀫􀀫􀀽,U+100006 U+10002B U+10002B U+10003D,􀀆􀀫􀀽,U+100006 U+10002B U+10003D,􀀆,U+100006,1444
536,􀀆􀀫􀀫􀁀,U+100006 U+10002B U+10002B U+100040,􀀆􀀫􀁀,U+100006 U+10002B U+100040,􀀆,U+100006,1454
537,􀀆􀀬􀀬􀀣,U+100006 U+10002C U+10002C U+100023,􀀆􀀬􀀣,U+100006 U+10002C U+100023,􀀆,U+100006,1586
538,􀀆􀀬􀀬􀀬,U+100006 U+10002C U+10002C U+10002C,􀀆􀀬,U+100006 U+10002C,􀀆,U+100006,1470
539,􀀆􀀬􀀬􀀾,U+100006 U+10002C U+10002C U+10003E,􀀆􀀬􀀾,U+100006 U+10002C U+10003E,􀀆,U+100006,1488
540,􀀆􀀬􀀭􀀥,U+100006 U+10002C U+10002D U+100025,􀀆􀀬􀀭􀀥,U+100006 U+10002C U+10002D U+100025,􀀆,U+100006,1592
541,􀀆􀀬􀀭􀀮,U+100006 U+10002C U+10002D U+10002E,􀀆􀀬􀀭􀀮,U+100006 U+10002C U+10002D U+10002E,􀀆,U+100006,1472
542,􀀆􀀬􀀭􀁀,U+100006 U+10002C U+10002D U+100040,􀀆􀀬􀀭􀁀,U+100006 U+10002C U+10002D U+100040,􀀆,U+100006,1494
543,􀀆􀀭􀀭􀀤,U+100006 U+10002D U+10002D U+100024,􀀆􀀭􀀤,U+100006 U+10002D U+100024,􀀆,U+100006,1594
544,􀀆􀀭􀀭􀀭,U+100006 U+10002D U+10002D U+10002D,􀀆􀀭,U+100006 U+10002D,􀀆,U+100006,1474
545,􀀆􀀭􀀭􀀿,U+100006 U+10002D U+10002D U+10003F,􀀆􀀭􀀿,U+100006 U+10002D U+10003F,􀀆,U+100006,1496
546,􀀆􀀮􀀭􀀣,U+100006 U+10002E U+10002D U+100023,􀀆􀀮􀀭􀀣,U+100006 U+10002E U+10002D U+100023,􀀆,U+100006,1588
547,􀀆􀀮􀀭􀀾,U+100006 U+10002E U+10002D U+10003E,􀀆􀀮􀀭􀀾,U+100006 U+10002E U+10002D U+10003E,􀀆,U+100006,1490
548,􀀆􀀮􀀮􀀥,U+100006 U+10002E U+10002E U+100025,􀀆􀀮􀀥,U+100006 U+10002E U+100025,􀀆,U+100006,1590
549,􀀆􀀮􀀮􀁀,U+100006 U+10002E U+10002E U+100040,􀀆􀀮􀁀,U+100006 U+10002E U+100040,􀀆,U+100006,1492
550,􀀆􀀯􀀯􀀠,U+100006 U+10002F U+10002F U+100020,􀀆􀀯􀀠,U+100006 U+10002F U+100020,􀀆,U+100006,1476
551,􀀆􀀯􀀰􀀢,U+100006 U+10002F U+100030 U+100022,􀀆􀀯􀀰􀀢,U+100006 U+10002F U+100030 U+100022,􀀆,U+100006,1482
552,􀀆􀀯􀀰􀀽,U+100006 U+10002F U+100030 U+10003D,􀀆􀀯􀀰􀀽,U+100006 U+10002F U+100030 U+10003D,􀀆,U+100006,1486
553,􀀆􀀰􀀰􀀡,U+100006 U+100030 U+100030 U+100021,􀀆􀀰􀀡,U+100006 U+100030 U+100021,􀀆,U+100006,1484
554,􀀆􀀱􀀰􀀠,U+100006 U+100031 U+100030 U+100020,􀀆􀀱􀀰􀀠,U+100006 U+100031 U+100030 U+100020,􀀆,U+100006,1478
555,􀀆􀀱􀀱􀀢,U+100006 U+100031 U+100031 U+100022,􀀆􀀱􀀢,U+100006 U+100031 U+100022,􀀆,U+100006,1480
556,􀀇􀀠􀀠􀀠,U+100007 U+100020 U+100020 U+100020,􀀇􀀠,U+100007 U+100020,􀀇,U+100007,1912
557,􀀇􀀠􀀡􀀢,U+100007 U+100020 U+100021 U+100022,􀀇􀀠􀀡􀀢,U+100007 U+100020 U+100021 U+100022,􀀇,U+100007,1918
558,􀀇􀀠􀀩􀀩,U+100007 U+100020 U+100029 U+100029,􀀇􀀠􀀩,U+100007 U+100020 U+100029,􀀇,U+100007,1920
559,􀀇􀀠􀀩􀀻,U+100007 U+100020 U+100029 U+10003B,􀀇􀀠􀀩􀀻,U+100007 U+100020 U+100029 U+10003B,􀀇,U+100007,1922
560,􀀇􀀠􀀪􀀥,U+100007 U+100020 U+10002A U+100025,􀀇􀀠􀀪􀀥,U+100007 U+100020 U+10002A U+100025,􀀇,U+100007,1942
561,􀀇􀀠􀀪􀀽,U+100007 U+100020 U+10002A U+10003D,􀀇􀀠􀀪􀀽,U+100007 U+100020 U+10002A U+10003D,􀀇,U+100007,1928
562,􀀇􀀠􀀪􀁀,U+100007 U+100020 U+10002A U+100040,􀀇􀀠􀀪􀁀,U+100007 U+100020 U+10002A U+100040,􀀇,U+100007,1936
563,􀀇􀀠􀀬􀀣,U+100007 U+100020 U+10002C U+100023,􀀇􀀠􀀬􀀣,U+100007 U+100020 U+10002C U+100023,􀀇,U+100007,1968
564,􀀇􀀠􀀭􀀥,U+100007 U+100020 U+10002D U+100025,􀀇􀀠􀀭􀀥,U+100007 U+100020 U+10002D U+100025,􀀇,U+100007,1974
565,􀀇􀀠􀀭􀁀,U+100007 U+100020 U+10002D U+100040,􀀇􀀠􀀭􀁀,U+100007 U+100020 U+10002D U+100040,􀀇,U+100007,1966
566,􀀇􀀠􀀯􀀯,U+100007 U+100020 U+10002F U+10002F,􀀇􀀠􀀯,U+100007 U+100020 U+10002F,􀀇,U+100007,1946
567,􀀇􀀠􀀰􀀱,U+100007 U+100020 U+100030 U+100031,􀀇􀀠􀀰􀀱,U+100007 U+100020 U+100030 U+100031,􀀇,U+100007,1952
568,􀀇􀀡􀀪􀀤,U+100007 U+100021 U+10002A U+100024,􀀇􀀡􀀪􀀤,U+100007 U+100021 U+10002A U+100024,􀀇,U+100007,1944
569,􀀇􀀡􀀪􀀼,U+100007 U+100021 U+10002A U+10003C,􀀇􀀡􀀪􀀼,U+100007 U+100021 U+10002A U+10003C,􀀇,U+100007,1930
570,􀀇􀀡􀀪􀀿,U+100007 U+100021 U+10002A U+10003F,􀀇􀀡􀀪􀀿,U+100007 U+100021 U+10002A U+10003F,􀀇,U+100007,1938
571,􀀇􀀡􀀭􀀤,U+100007 U+100021 U+10002D U+100024,􀀇􀀡􀀭􀀤,U+100007 U+100021 U+10002D U+100024,􀀇,U+100007,1976
572,􀀇􀀡􀀰􀀰,U+100007 U+100021 U+100030 U+100030,􀀇􀀡􀀰,U+100007 U+100021 U+100030,􀀇,U+100007,1954
573,􀀇􀀡􀀰􀀼,U+100007 U+100021 U+100030 U+10003C,􀀇􀀡􀀰􀀼,U+100007 U+100021 U+100030 U+10003C,􀀇,U+100007,1960
574,􀀇􀀢􀀡􀀠,U+100007 U+100022 U+100021 U+100020,􀀇􀀢􀀡􀀠,U+100007 U+100022 U+100021 U+100020,􀀇,U+100007,1914
575,􀀇􀀢􀀢􀀢,U+100007 U+100022 U+100022 U+100022,􀀇􀀢,U+100007 U+100022,􀀇,U+100007,1916
576,􀀇􀀢􀀪􀀻,U+100007 U+100022 U+10002A U+10003B,􀀇􀀢􀀪􀀻,U+100007 U+100022 U+10002A U+10003B,􀀇,U+100007,1924
577,􀀇􀀢􀀪􀀾,U+100007 U+100022 U+10002A U+10003E,􀀇􀀢􀀪􀀾,U+100007 U+100022 U+10002A U+10003E,􀀇,U+100007,1932
578,􀀇􀀢􀀫􀀥,U+100007 U+100022 U+10002B U+100025,􀀇􀀢􀀫􀀥,U+100007 U+100022 U+10002B U+100025,􀀇,U+100007,1940
579,􀀇􀀢􀀫􀀽,U+100007 U+100022 U+10002B U+10003D,􀀇􀀢􀀫􀀽,U+100007 U+100022 U+10002B U+10003D,􀀇,U+100007,1926
580,􀀇􀀢􀀫􀁀,U+100007 U+100022 U+10002B U+100040,􀀇􀀢􀀫􀁀,U+100007 U+100022 U+10002B U+100040,􀀇,U+100007,1934
581,􀀇􀀢􀀭􀀣,U+100007 U+100022 U+10002D U+100023,􀀇􀀢􀀭􀀣,U+100007 U+100022 U+10002D U+100023,􀀇,U+100007,1970
582,􀀇􀀢􀀭􀀾,U+100007 U+100022 U+10002D U+10003E,􀀇􀀢􀀭􀀾,U+100007 U+100022 U+10002D U+10003E,􀀇,U+100007,1962
583,􀀇􀀢􀀮􀀥,U+100007 U+100022 U+10002E U+100025,􀀇􀀢􀀮􀀥,U+100007 U+100022 U+10002E U+100025,􀀇,U+100007,1972
584,􀀇􀀢􀀮􀁀,U+100007 U+100022 U+10002E U+100040,􀀇􀀢􀀮􀁀,U+100007 U+100022 U+10002E U+100040,􀀇,U+100007,1964
585,􀀇􀀢􀀰􀀯,U+100007 U+100022 U+100030 U+10002F,􀀇􀀢􀀰􀀯,U+100007 U+100022 U+100030 U+10002F,􀀇,U+100007,1948
586,􀀇􀀢􀀰􀀻,U+100007 U+100022 U+100030 U+10003B,􀀇􀀢􀀰􀀻,U+100007 U+100022 U+100030 U+10003B,􀀇,U+100007,1956
